iter,time_namelookup,time_connect,time_appconnect,time_pretransfer,time_starttransfer,time_total
1,0.035234time_connect:,0.035234time_connect:,0.035234time_connect:,0.035234time_connect:,0.035234time_connect:,0.035234time_connect:
2,0.006508time_connect:,0.006508time_connect:,0.006508time_connect:,0.006508time_connect:,0.006508time_connect:,0.006508time_connect:
3,0.007180time_connect:,0.007180time_connect:,0.007180time_connect:,0.007180time_connect:,0.007180time_connect:,0.007180time_connect:
4,0.006351time_connect:,0.006351time_connect:,0.006351time_connect:,0.006351time_connect:,0.006351time_connect:,0.006351time_connect:
5,0.006694time_connect:,0.006694time_connect:,0.006694time_connect:,0.006694time_connect:,0.006694time_connect:,0.006694time_connect:
6,0.008717time_connect:,0.008717time_connect:,0.008717time_connect:,0.008717time_connect:,0.008717time_connect:,0.008717time_connect:
7,0.007236time_connect:,0.007236time_connect:,0.007236time_connect:,0.007236time_connect:,0.007236time_connect:,0.007236time_connect:
8,0.014861time_connect:,0.014861time_connect:,0.014861time_connect:,0.014861time_connect:,0.014861time_connect:,0.014861time_connect:
9,0.007663time_connect:,0.007663time_connect:,0.007663time_connect:,0.007663time_connect:,0.007663time_connect:,0.007663time_connect:
10,0.006562time_connect:,0.006562time_connect:,0.006562time_connect:,0.006562time_connect:,0.006562time_connect:,0.006562time_connect:
11,0.007966time_connect:,0.007966time_connect:,0.007966time_connect:,0.007966time_connect:,0.007966time_connect:,0.007966time_connect:
12,0.007112time_connect:,0.007112time_connect:,0.007112time_connect:,0.007112time_connect:,0.007112time_connect:,0.007112time_connect:
13,0.006516time_connect:,0.006516time_connect:,0.006516time_connect:,0.006516time_connect:,0.006516time_connect:,0.006516time_connect:
14,0.018820time_connect:,0.018820time_connect:,0.018820time_connect:,0.018820time_connect:,0.018820time_connect:,0.018820time_connect:
15,0.018698time_connect:,0.018698time_connect:,0.018698time_connect:,0.018698time_connect:,0.018698time_connect:,0.018698time_connect:
16,0.007486time_connect:,0.007486time_connect:,0.007486time_connect:,0.007486time_connect:,0.007486time_connect:,0.007486time_connect:
17,0.006355time_connect:,0.006355time_connect:,0.006355time_connect:,0.006355time_connect:,0.006355time_connect:,0.006355time_connect:
18,0.008411time_connect:,0.008411time_connect:,0.008411time_connect:,0.008411time_connect:,0.008411time_connect:,0.008411time_connect:
